trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.8, 'e': 0.11518103087329803}",25,10,28.69534050819142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.11345331541019857}",25,7,12.876113103495792,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.1117515156790456}",30,8,-5.639827739712425,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.8, 'e': 0.1100752429438599}",35,12,17.678877368447697,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.108424114299702}",20,8,24.98674360539418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.10679775258520648}",30,12,10.879592620144399,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.10519578629642837}",20,14,11.189180530147596,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.10361784950198195}",20,9,6.875777551545429,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.10206358175945221}",20,10,20.614460891883006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.10053262803306043}",30,8,16.470171981588045,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.09902463861256453}",20,15,7.199147819915606,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.09753926903337605}",30,12,37.45764967619798,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.0960761799978754}",20,8,-16.867986019728345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
